launch_id,unix_time_s,pressure_hpa,temperature_c,dewPoint_c,humidity_percent,latitude_deg,longitude_deg,wind_direction_deg,wind_speed_mps,elevation_gps_m,elevation2_m,flags
ocw1k5zzkwml,1632524785,991.90002441406250000,30.00000000000000000,,26.50000000000000000,32.83563613891601562,-97.29896545410156250,,,179,0,205,
ocw1k5zzkwml,1632524790,991.90002441406250000,30.11000061035156250,,26.46999931335449219,32.83563613891601562,-97.29895782470703125,,,179,0,205,
ocw1k5zzkwml,1632524795,991.90002441406250000,30.20999908447265625,,26.19000053405761719,32.83563613891601562,-97.29895019531250000,,,179,0,205,
ocw1k5zzkwml,1632524800,991.90002441406250000,30.29999923706054688,,25.70000076293945312,32.83563995361328125,-97.29894256591796875,,,179,0,205,
ocw1k5zzkwml,1632524805,991.90002441406250000,30.38999938964843750,,25.29000091552734375,32.83564376831054688,-97.29894256591796875,,,186,0,205,
ocw1k5zzkwml,1632524810,991.90002441406250000,30.48999977111816406,,26.04000091552734375,32.83565139770507812,-97.29893493652343750,,,188,0,205,
ocw1k5zzkwml,1632524815,991.90002441406250000,30.56999969482421875,,26.61000061035156250,32.83565139770507812,-97.29893493652343750,,,189,0,205,
ocw1k5zzkwml,1632524820,991.90002441406250000,30.65999984741210938,,26.23999977111816406,32.83565139770507812,-97.29893493652343750,,,191,0,205,
ocw1k5zzkwml,1632524825,991.90002441406250000,30.72999954223632812,,25.77000045776367188,32.83565902709960938,-97.29895019531250000,,,193,0,205,
ocw1k5zzkwml,1632524830,992.00000000000000000,30.79999923706054688,,26.10000038146972656,32.83566284179687500,-97.29895782470703125,,,195,0,205,
ocw1k5zzkwml,1632524835,991.90002441406250000,30.86000061035156250,,25.37999916076660156,32.83566284179687500,-97.29895782470703125,,,195,0,205,
ocw1k5zzkwml,1632524840,992.00000000000000000,30.94000053405761719,,24.96999931335449219,32.83566284179687500,-97.29895782470703125,,,195,0,205,
ocw1k5zzkwml,1632524845,992.00000000000000000,31.00000000000000000,,25.14999961853027344,32.83566284179687500,-97.29895782470703125,,,195,0,205,
ocw1k5zzkwml,1632524850,992.00000000000000000,31.04999923706054688,,24.79999923706054688,32.83566665649414062,-97.29895782470703125,,,194,0,205,
ocw1k5zzkwml,1632524855,992.00000000000000000,31.10000038146972656,,24.68000030517578125,32.83566284179687500,-97.29895782470703125,,,194,0,205,
ocw1k5zzkwml,1632524860,991.90002441406250000,31.13999938964843750,,24.79000091552734375,32.83565521240234375,-97.29895782470703125,,,193,0,205,
ocw1k5zzkwml,1632524865,992.00000000000000000,31.17000007629394531,,24.62999916076660156,32.83564376831054688,-97.29895782470703125,,,192,0,205,
ocw1k5zzkwml,1632524870,992.00000000000000000,31.17000007629394531,,25.12000083923339844,32.83563232421875000,-97.29895782470703125,,,188,0,205,
ocw1k5zzkwml,1632524875,992.00000000000000000,31.01000022888183594,,29.43000030517578125,32.83563232421875000,-97.29895782470703125,,,187,0,205,
